x,y,z
-8.052237253599802358e+00,-3.991033163679478690e+00,4.658556126399150799e+01
-7.956252926704380890e+00,-4.010953211787754213e+00,4.632785363776935128e+01
-7.863050739156515867e+00,-4.035374344919871348e+00,4.607148966874562745e+01
-7.772666139594168300e+00,-4.064165204832296041e+00,4.581656240618166009e+01
-7.685132151805563971e+00,-4.097198092931102487e+00,4.556316116271031547e+01
-7.600479374729183668e+00,-4.134348970271979340e+00,4.531137151433597410e+01
-7.518735982453783606e+00,-4.175497457560219061e+00,4.506127530043456630e+01
-7.439927724218376781e+00,-4.220526835150726797e+00,4.481295062375357219e+01
-7.364077924412250731e+00,-4.269324043048014161e+00,4.456647185041201453e+01
-7.291207482574938226e+00,-4.321779680906210785e+00,4.432190960990040907e+01
-7.221334873396253684e+00,-4.377788008029046551e+00,4.407933079508084973e+01
-7.154476146716269191e+00,-4.437246943369864915e+00,4.383879856218696602e+01
-7.090644927525321606e+00,-4.500058065531616691e+00,4.360037233082393016e+01
-7.029852415964008117e+00,-4.566126612766868931e+00,4.336410778396840726e+01
-6.972107387323195127e+00,-4.635361482977792491e+00,4.313005686796865490e+01
-6.917416192044010259e+00,-4.707675233716169139e+00,4.289826779254443068e+01
-6.865782755717850350e+00,-4.782984082183385333e+00,4.266878503078707752e+01
-6.817208579086367237e+00,-4.861207905230451765e+00,4.244164931915940286e+01
-6.771692738041481974e+00,-4.942270239357973161e+00,4.221689765749581369e+01
-6.729231883625383048e+00,-5.026098280716173150e+00,4.199456330900223122e+01
-6.689820242030516617e+00,-5.112622885104879167e+00,4.177467580025611227e+01
-6.653449614599599826e+00,-5.201778567973528666e+00,4.155726092120647763e+01
-6.620091303248501369e+00,-5.293536075977750777e+00,4.134237409482781800e+01
-6.589689068022179796e+00,-5.387943311178641892e+00,4.113013239534831911e+01
-6.562238402670031334e+00,-5.484984101945336477e+00,4.092057479227933214e+01
-6.537737494693632634e+00,-5.584639762660701834e+00,4.071373801229751166e+01
-6.516184261053945548e+00,-5.686893685125551379e+00,4.050966156617077729e+01
-6.497576348171326011e+00,-5.791731338558623321e+00,4.030838774875838482e+01
-6.481911131925518710e+00,-5.899140269596591324e+00,4.010996163901089773e+01
-6.469185717655658863e+00,-6.009110102294060951e+00,3.991443109997018013e+01
-6.459396940160271328e+00,-6.121632538123585654e+00,3.972184677876938963e+01
-6.452541363697273269e+00,-6.236701355975640126e+00,3.953226210663299867e+01
-6.448615281983968828e+00,-6.354312412158638068e+00,3.934573329887680160e+01
-6.447614718197054451e+00,-6.474463640398921527e+00,3.916231935490789340e+01
-6.449535424972616227e+00,-6.597155051840783990e+00,3.898208205822465544e+01
-6.454372884406130773e+00,-6.722388735046436636e+00,3.880508597641679103e+01
-6.462122308052465236e+00,-6.850168855996033201e+00,3.863139846116531828e+01
-6.472778636925876405e+00,-6.980501658087651329e+00,3.846108964824255594e+01
-6.486336541500010711e+00,-7.113395462137326319e+00,3.829423245751211624e+01
-6.502790421707905111e+00,-7.248860666379005835e+00,3.813090259292894046e+01
-6.522134406941988871e+00,-7.386909746464580095e+00,3.797117854253924918e+01
-6.544362356054076457e+00,-7.527557255463866781e+00,3.781514157848060620e+01
-6.569467857355379969e+00,-7.670819823864640341e+00,3.766287575698184753e+01
-6.597444228616494932e+00,-7.816716159572585809e+00,3.751446791836313821e+01
-6.628284517067410953e+00,-7.965267047911331666e+00,3.737000768703593678e+01
-6.661981499397503725e+00,-8.116495351622432963e+00,3.722958747150302372e+01
-6.698527681755545693e+00,-8.270426010865403299e+00,3.709330246435845879e+01
-6.737915299749694498e+00,-8.427086043217666855e+00,3.696125064228763790e+01
-6.780136318447498311e+00,-8.586504543674589485e+00,3.683353276606725046e+01
-6.825182432375896724e+00,-8.748712684649463611e+00,3.671025238056530782e+01
-6.873045065521220742e+00,-8.913743715973541981e+00,3.659151581474108639e+01
-6.923715371329191015e+00,-9.081632964895986149e+00,3.647743218164521295e+01
-6.977184232704915168e+00,-9.252417836083900227e+00,3.636811337841961489e+01
-7.033442262012894020e+00,-9.426137811622325557e+00,3.626367408629749889e+01
-7.092479801077016255e+00,-9.602834451014226502e+00,3.616423177060340777e+01
-7.154286921180567305e+00,-9.782551391180525968e+00,3.606990668075318496e+01
-7.218853423066216024e+00,-9.965334346460064552e+00,3.598082185025396029e+01
-7.286088606135018964e+00,-1.015099074421474512e+01,3.589699454937149170e+01
-7.355887640925423909e+00,-1.033919876585762943e+01,3.581841617909693554e+01
-7.428311281612954176e+00,-1.053006643993325042e+01,3.574529937615869812e+01
-7.503417907556067412e+00,-1.072369352616957450e+01,3.567785874793586487e+01
-7.581260798613945973e+00,-1.092016392190799756e+01,3.561630725346858384e+01
-7.661888135146498691e+00,-1.111954566210332729e+01,3.556085620345807286e+01
-7.745342998014367097e+00,-1.132189091932381508e+01,3.551171526026661951e+01
-7.831663368578909434e+00,-1.152723600375111346e+01,3.546909243791758826e+01
-7.920882128702211311e+00,-1.173560136318029379e+01,3.543319410209540621e+01
-8.013027060747083041e+00,-1.194699158301984809e+01,3.540422497014557024e+01
-8.108120847577069412e+00,-1.216139538629170858e+01,3.538238811107464699e+01
-8.206181072556429257e+00,-1.237878563363120676e+01,3.536788494555029416e+01
-8.307220219550153217e+00,-1.259911932328709838e+01,3.536091524590121082e+01
-8.411245672923950423e+00,-1.282233759112155091e+01,3.536167713611718000e+01
-8.518259717544269805e+00,-1.304836571061018446e+01,3.537036709184905448e+01
-8.628259538778273452e+00,-1.327711309284200425e+01,3.538717994040876391e+01
-8.741237222493852599e+00,-1.350847328651945389e+01,3.541230886076929352e+01
-8.857179755059618742e+00,-1.374232397795837812e+01,3.544594538356471247e+01
-8.976069023344926734e+00,-1.397852699108807784e+01,3.548827939109015972e+01
-9.097881814719835702e+00,-1.421692828745124260e+01,3.553949911730183686e+01
-9.222589817055141026e+00,-1.445735796620399150e+01,3.559979114781701526e+01
-9.350159618722354793e+00,-1.469963026411585361e+01,3.566934041991404314e+01
-9.480552708593737776e+00,-1.494354355556981240e+01,3.574833022253233850e+01
-9.613725476042251472e+00,-1.518888035256223645e+01,3.583694219627239619e+01
-9.749629210941588298e+00,-1.543540730470292388e+01,3.593535633339575952e+01
-9.888210103666175144e+00,-1.568287519921510409e+01,3.604375097782506998e+01
-1.002940924509115206e+01,-1.593101896093539516e+01,3.616230282514401750e+01
-1.017316262659240067e+01,-1.617955765231388909e+01,3.629118692259738310e+01
-1.031940114004651576e+01,-1.642819447341405237e+01,3.643057666909099623e+01
-1.046805057783082127e+01,-1.667661676191278985e+01,3.658064381519176322e+01
-1.061903163282335782e+01,-1.692449599310041464e+01,3.674155846312767437e+01
-1.077225989840291476e+01,-1.717148777988068531e+01,3.691348906678778263e+01
-1.092764586844898389e+01,-1.741723187277075624e+01,3.709660243172220362e+01
-1.108509493734179685e+01,-1.766135215990121310e+01,3.729106371514213691e+01
-1.124450739996229132e+01,-1.790345666701604443e+01,3.749703642591983055e+01
-1.140577845169216253e+01,-1.814313755747269852e+01,3.771468242458863784e+01
-1.156879818841380470e+01,-1.837997113224200518e+01,3.794416192334295346e+01
-1.173345160651034647e+01,-1.861351782990822912e+01,3.818563348603824892e+01
-1.189961860286563322e+01,-1.884332222666904499e+01,3.843925402819106552e+01
-1.206717397486426080e+01,-1.906891303633558010e+01,3.870517881697903562e+01
-1.223598742039152576e+01,-1.928980311033234329e+01,3.898356147124084004e+01
-1.240592353783345914e+01,-1.950548943769728538e+01,3.927455396147622935e+01
-1.257684182607681045e+01,-1.971545314508175295e+01,3.957830660984600968e+01
-1.274862496625124741e+01,-1.991957228374140598e+01,3.989449461805909891e+01
-1.292111934066712209e+01,-2.011749097855506818e+01,4.022262059260506106e+01
-1.309411671817192513e+01,-2.030829486779896698e+01,4.056259274990046038e+01
-1.326740203830962628e+01,-2.049110197915711495e+01,4.091427285121498159e+01
